Metodo;Quantidade;Trocas;Comparacoes;Duracao
Bubble;1;0;0;1mcs 300ns
Bubble;10;19;45;58mcs 200ns
Bubble;100;2.671;4.950;1ms 164mcs 900ns
Bubble;1.000;242.611;499.500;9ms 570mcs 900ns
Bubble;5.000;6.206.730;12.497.500;117ms 716mcs 400ns
Bubble;10.000;25.252.189;49.995.000;523ms 458mcs 0ns
Bubble;20.000;100.030.540;199.990.000;3s 508ms 107mcs 500ns
Bubble;30.000;225.367.857;449.985.000;8s 554ms 275mcs 800ns
Bubble;50.000;625.587.268;1.249.975.000;24s 300ms 848mcs 700ns
Bubble;75.000;1.410.978.738;2.812.462.500;1m 6s 623ms 683mcs 100ns
Bubble;100.000;2.504.993.696;4.999.950.000;2m 28s 853ms 306mcs 900ns
Bubble;150.000;5.641.693.472;11.249.925.000;8m 10s 746ms 787mcs 900ns
Select;1;0;0;900ns
Select;10;9;45;12mcs 100ns
Select;100;99;4.950;593mcs 300ns
Select;1.000;999;499.500;16ms 259mcs 0ns
Select;5.000;4.999;12.497.500;160ms 894mcs 300ns
Select;10.000;9.999;49.995.000;598ms 763mcs 600ns
Select;20.000;19.999;199.990.000;2s 746ms 171mcs 700ns
Select;30.000;29.999;449.985.000;6s 499ms 163mcs 400ns
Select;50.000;49.999;1.249.975.000;19s 530ms 473mcs 500ns
Select;75.000;74.999;2.812.462.500;52s 726ms 730mcs 0ns
Select;100.000;99.999;4.999.950.000;2m 2s 431ms 16mcs 900ns
Select;150.000;149.999;11.249.925.000;7m 6s 583ms 357mcs 800ns
Insertion;1;0;0;800ns
Insertion;10;28;28;10mcs 600ns
Insertion;100;2.770;2.770;262mcs 700ns
Insertion;1.000;243.610;243.610;9ms 335mcs 400ns
Insertion;5.000;6.211.729;6.211.729;76ms 315mcs 100ns
Insertion;10.000;25.262.188;25.262.188;259ms 324mcs 500ns
Insertion;20.000;100.050.539;100.050.53
